unique_id,name,address,city,cuisine
1,"arnie morton's of chicago", "435 s. la cienega blv.", "los angeles", "american"
2,"arnie morton's of chicago", "435 s. la cienega blvd.", "los angeles", "steakhouses"
3,"art's delicatessen", "12224 ventura blvd.", "studio city", "american"
4,"art's deli", "12224 ventura blvd.", "studio city", "delis"
5,"hotel bel-air", "701 stone canyon rd.", "bel air", "californian"
6,"bel-air hotel", "701 stone canyon rd.", "bel air", "californian"
7,"cafe bizou", "14016 ventura blvd.", "sherman oaks", "french"
8,"cafe bizou", "14016 ventura blvd.", "sherman oaks", "french bistro"
9,"campanile", "624 s. la brea ave.", "los angeles", "american"
10,"campanile", "624 s. la brea ave.", "los angeles", "californian"
11,"chinois on main", "2709 main st.", "santa monica", "french"
12,"chinois on main", "2709 main st.", "santa monica", "pacific new wave"
13,"citrus", "6703 melrose ave.", "los angeles", "californian"
14,"citrus", "6703 melrose ave.", "los angeles", "californian"
15,"fenix", "8358 sunset blvd. west", "hollywood", "american"
16,"fenix at the argyle", "8358 sunset blvd.", "w. hollywood", "french (new)"
17,"granita", "23725 w. malibu rd.", "malibu", "californian"
18,"granita", "23725 w. malibu rd.", "malibu", "californian"
19,"grill on the alley", "9560 dayton way", "los angeles", "american"
20,"grill  the", "9560 dayton way", "beverly hills", "american (traditional)"
21,"restaurant katsu", "1972 n. hillhurst ave.", "los angeles", "asian"
22,"katsu", "1972 hillhurst ave.", "los feliz", "japanese"
23,"l'orangerie", "903 n. la cienega blvd.", "los angeles", "french"
24,"l'orangerie", "903 n. la cienega blvd.", "w. hollywood", "french (classic)"
25,"le chardonnay", "8284 melrose ave.", "los angeles", "french"
26,"le chardonnay (los angeles)", "8284 melrose ave.", "los angeles", "french bistro"
27,"locanda veneta", "3rd st.", "los angeles", "italian"
